originalContent,correctedSentence,changes,temp_lower
up samples yi0.,This is because we are summing over all samples where yi = 0.,<b> This is because we are summing over all </b> samples <b> where yi = 0. </b>,<b> this is because we are summing over all </b> samples <b> where yi = 0. </b>
"count represent Because every yi0, get extra sum, ends total examples.","This is because every time yi = 0, we get an extra sum, which ends up being the total number of examples.","<b> This is because </b> every <b> time yi = 0, we </b> get <b> an </b> extra sum, <b> which </b> ends <b> up being the </b> total <b> number of </b> examples.","<b> this is because </b> every <b> time yi = 0, we </b> get <b> an </b> extra sum, <b> which </b> ends <b> up being the </b> total <b> number of </b> examples."
made 1mmi1xiyixiT fits means classes.,"This is made up of 1/m times the sum of xi times yi, which fits the means of the classes.","<b> This is </b> made <b> up of 1/m times the sum of xi times yi, which </b> fits <b> the </b> means <b> of the </b> classes.","<b> this is </b> made <b> up of 1/m times the sum of xi times yi, which </b> fits <b> the </b> means <b> of the </b> classes."
Making Predictions Using minz min z minimum any possible z.,"Making predictions using the minimum of z, where z is any possible value.","Making <b> predictions using the minimum of z, where </b> z <b> is </b> any possible <b> value. </b>","making <b> predictions using the minimum of z, where </b> z <b> is </b> any possible <b> value. </b>"
argminz argmin refers plugged expression.,The argmin of z refers to the value of z that minimises the expression.,<b> The </b> argmin <b> of z </b> refers <b> to the value of z that minimises the </b> expression.,<b> the </b> argmin <b> of z </b> refers <b> to the value of z that minimises the </b> expression.
"minzz52 attained z520 argminzz52 led z52, z5.","The minimum of z is attained when z = 5, and the argmin of z is 5.","<b> The minimum of z is </b> attained <b> when z = 5, and the argmin of z is 5. </b>","<b> the minimum of z is </b> attained <b> when z = 5, and the argmin of z is 5. </b>"
maxz argmaxz operators exist they deal leads having lets how go,"The max of z and the argmax of z are operators that exist, and they deal with the maximum value of z. Let's see how to go about finding the maximum value of z.","<b> The max of z and the argmax of z are </b> operators <b> that exist, and </b> they deal <b> with the maximum value of z. Let's see </b> how <b> to </b> go <b> about finding the maximum value of z. </b>","<b> the max of z and the argmax of z are </b> operators <b> that exist, and </b> they deal <b> with the maximum value of z. let's see </b> how <b> to </b> go <b> about finding the maximum value of z. </b>"
So do benign?,"So, do we predict benign?","<b> So, </b> do <b> we predict </b> benign?","<b> so, </b> do <b> we predict </b> benign?"
"boils down predicting likely x, formally argmaxyPyx","This boils down to predicting the most likely value of x, which is given by the argmax of Pyx.","<b> This </b> boils down <b> to </b> predicting <b> the most </b> likely <b> value of </b> x, <b> which is given by the argmax of Pyx. </b>","<b> this </b> boils down <b> to </b> predicting <b> the most </b> likely <b> value of </b> x, <b> which is given by the argmax of pyx. </b>"
"Looking deeper y0,1 rule, argmaxyPyxargmaxyPxyPyPx","Looking deeper, we can see that the rule for predicting y is given by the argmax of Pyx, which is equal to the argmax of PxyPyPx.","Looking <b> deeper, we can see that the rule for predicting y is given by the argmax of Pyx, which is equal to the argmax of PxyPyPx. </b>","looking <b> deeper, we can see that the rule for predicting y is given by the argmax of pyx, which is equal to the argmax of pxypypx. </b>"
reasons highlighted Visualization dataset compareandcontrast operate,"The reasons for this are highlighted in the visualisation of the dataset, which shows how the model operates.","<b> The </b> reasons <b> for this are </b> highlighted <b> in the visualisation of the dataset, which shows how the model operates. </b>","<b> the </b> reasons <b> for this are </b> highlighted <b> in the visualisation of the dataset, which shows how the model operates. </b>"
"Pictorially, GDAs operation Shown been shape orientation, share point, determine put together, imply blue Py1x0.5.","Pictorially, the operation of GDA is shown to be a shape and orientation that share a point, which determines the decision boundary. This implies that the blue line is the decision boundary, and Py1x = 0.5.","Pictorially, <b> the </b> operation <b> of GDA is shown to be a </b> shape <b> and orientation that </b> share <b> a </b> point, <b> which determines the decision boundary. This implies that the </b> blue <b> line is the decision boundary, and Py1x = 0.5. </b>","pictorially, <b> the </b> operation <b> of gda is shown to be a </b> shape <b> and orientation that </b> share <b> a </b> point, <b> which determines the decision boundary. this implies that the </b> blue <b> line is the decision boundary, and py1x = 0.5. </b>"
"boundary, predict outcome, side, y0.","The boundary is used to predict the outcome, and the side of the boundary determines the value of y.","<b> The boundary is used to </b> predict <b> the </b> outcome, <b> and the side of the boundary determines the value of y. </b>","<b> the boundary is used to </b> predict <b> the </b> outcome, <b> and the side of the boundary determines the value of y. </b>"
Points upper right closer classifying lower left classified,"Points in the upper right are closer to being classified as y = 1, while points in the lower left are classified as y = 0.","Points <b> in the </b> upper right <b> are </b> closer <b> to being classified as y = 1, while points in the </b> lower left <b> are </b> classified <b> as y = 0. </b>","points <b> in the </b> upper right <b> are </b> closer <b> to being classified as y = 1, while points in the </b> lower left <b> are </b> classified <b> as y = 0. </b>"
Logistic Regression x1 x2 start whose randomly.,"Logistic regression starts with x1 and x2, whose values are randomly initialised.","Logistic <b> regression starts with </b> x1 <b> and x2, </b> whose <b> values are randomly initialised. </b>","logistic <b> regression starts with </b> x1 <b> and x2, </b> whose <b> values are randomly initialised. </b>"
"Typically, initialize purpose visualization, starting off shown","Typically, we initialise the values for the purpose of visualisation, starting off with the values shown.","Typically, <b> we initialise the values for the </b> purpose <b> of visualisation, </b> starting off <b> with the values shown. </b>","typically, <b> we initialise the values for the </b> purpose <b> of visualisation, </b> starting off <b> with the values shown. </b>"
"Running single iteration PYX, repositions 20 iterations, converges illustrates green superimposed blue.","Running a single iteration of the algorithm, we reposition the decision boundary, and after 20 iterations, the algorithm converges, illustrating the green line superimposed on the blue line.","Running <b> a </b> single iteration <b> of the algorithm, we reposition the decision boundary, and after </b> 20 iterations, <b> the algorithm converges, illustrating the </b> green <b> line </b> superimposed <b> on the blue line. </b>","running <b> a </b> single iteration <b> of the algorithm, we reposition the decision boundary, and after </b> 20 iterations, <b> the algorithm converges, illustrating the </b> green <b> line </b> superimposed <b> on the blue line. </b>"
arrive slightly boundaries.,"We arrive at the decision boundary, which is slightly different from the original boundary.","<b> We </b> arrive <b> at the decision boundary, which is </b> slightly <b> different from the original boundary. </b>","<b> we </b> arrive <b> at the decision boundary, which is </b> slightly <b> different from the original boundary. </b>"
"Why Two Separate Means, Single Matrix?",Why do we have two separate means and a single matrix?,Why <b> do we have two separate means and a single matrix? </b>,why <b> do we have two separate means and a single matrix? </b>
If lot problems.,If we have a lot of problems.,If <b> we have a </b> lot <b> of </b> problems.,if <b> we have a </b> lot <b> of </b> problems.
"Choosing reasonable, work fine.",Choosing a reasonable value will work fine.,Choosing <b> a reasonable value will </b> work fine.,choosing <b> a reasonable value will </b> work fine.
"catch, though, youll roughly double isnt anymore.","The catch, though, is that you'll roughly double the number of parameters, and it isn't anymore.","<b> The </b> catch, though, <b> is that you'll </b> roughly double <b> the number of parameters, and it isn't </b> anymore.","<b> the </b> catch, though, <b> is that you'll </b> roughly double <b> the number of parameters, and it isn't </b> anymore."
Discussion Comparing interesting relationship.,The discussion compares the interesting relationship between,<b> The discussion compares the </b> interesting <b> relationship between </b>,<b> the discussion compares the </b> interesting <b> relationship between </b>
"youve ,0,1,.",You've seen the relationship between 0 and 1.,<b> You've seen the relationship between 0 and 1. </b>,<b> you've seen the relationship between 0 and 1. </b>
"fixed Py1x,0,1,.",The fixed value of Py1x is 0 or 1.,<b> The </b> fixed <b> value of Py1x is 0 or 1. </b>,<b> the </b> fixed <b> value of py1x is 0 or 1. </b>
"theorem, Pxy1,0,1,Pxy1,0,1,Py1Px,0,1,","By the theorem, Pxy1 = Pxy1,0,1,Py1Px,0,1,","<b> By the </b> theorem, <b> Pxy1 = Pxy1,0,1,Py1Px,0,1, </b>","<b> by the </b> theorem, <b> pxy1 = pxy1,0,1,py1px,0,1, </b>"
"where, Pxy1,0,1, measure evaluating once determined optimum probability, plot Py1x so, simple few","where Pxy1 is the measure of evaluating the optimum probability, and we plot Py1x, which is a simple function of a few variables.","<b> where Pxy1 is the </b> measure <b> of </b> evaluating <b> the </b> optimum probability, <b> and we </b> plot <b> Py1x, which is a </b> simple <b> function of a </b> few <b> variables. </b>","<b> where pxy1 is the </b> measure <b> of </b> evaluating <b> the </b> optimum probability, <b> and we </b> plot <b> py1x, which is a </b> simple <b> function of a </b> few <b> variables. </b>"
"Now, Mappingprojecting Xaxis, bump PXY0 PXY1.","Now, we map the X-axis to the bump of PXY0 and PXY1.","Now, <b> we map the X-axis to the </b> bump <b> of </b> PXY0 <b> and </b> PXY1.","now, <b> we map the x-axis to the </b> bump <b> of </b> pxy0 <b> and </b> pxy1."
"Were Also, note split 5050 across PY1 0.5, known half","We also note that the split is 50-50 across Py1 = 0.5, which is known as the half-way point.","<b> We also </b> note <b> that the </b> split <b> is 50-50 </b> across <b> Py1 = </b> 0.5, <b> which is </b> known <b> as the half-way point. </b>","<b> we also </b> note <b> that the </b> split <b> is 50-50 </b> across <b> py1 = </b> 0.5, <b> which is </b> known <b> as the half-way point. </b>"
"Next, PY1X X.","Next, we have Py1x = X.","Next, <b> we have Py1x = </b> X.","next, <b> we have py1x = </b> x."
unlabeled far Xaxis.,The unlabeled points are far away from the X-axis.,<b> The </b> unlabeled <b> points are </b> far <b> away from the X-axis. </b>,<b> the </b> unlabeled <b> points are </b> far <b> away from the x-axis. </b>
"infer point almost certainly came left, generating Xaxis datapoint very small.","We can infer that the point almost certainly came from the left, generating a datapoint very close to the X-axis.","<b> We can </b> infer <b> that the </b> point almost certainly came <b> from the </b> left, generating <b> a </b> datapoint very <b> close to the X-axis. </b>","<b> we can </b> infer <b> that the </b> point almost certainly came <b> from the </b> left, generating <b> a </b> datapoint very <b> close to the x-axis. </b>"
pick Its easy discern PXY10.5.,We can easily discern that PXY1 = 0.5.,<b> We can easily </b> discern <b> that PXY1 = 0.5. </b>,<b> we can easily </b> discern <b> that pxy1 = 0.5. </b>
"right, youd pretty sure class.","On the right, you'd be pretty sure of the class.","<b> On the </b> right, <b> you'd be </b> pretty sure <b> of the </b> class.","<b> on the </b> right, <b> you'd be </b> pretty sure <b> of the </b> class."
"repeat exercise sweeping datapoints dense grid evaluate measure, Youll notice coming approach midpoint, increases 0.5 surpasses 0.5.","If we repeat the exercise, sweeping the datapoints across a dense grid and evaluating the measure, you'll notice that as we approach the midpoint, the value increases to 0.5 and surpasses 0.5.","<b> If we </b> repeat <b> the exercise, </b> sweeping <b> the </b> datapoints <b> across a </b> dense grid <b> and evaluating the </b> measure, <b> you'll </b> notice <b> that as we </b> approach <b> the </b> midpoint, <b> the value </b> increases <b> to </b> 0.5 <b> and </b> surpasses 0.5.","<b> if we </b> repeat <b> the exercise, </b> sweeping <b> the </b> datapoints <b> across a </b> dense grid <b> and evaluating the </b> measure, <b> you'll </b> notice <b> that as we </b> approach <b> the </b> midpoint, <b> the value </b> increases <b> to </b> 0.5 <b> and </b> surpasses 0.5."
"Beyond certain tends Plotting connect dots, turns exactly view quantity Py1x,0,1,","Beyond a certain point, plotting the connect-the-dots turns exactly into the view of the quantity Py1x, which is 0 or 1.","Beyond <b> a </b> certain <b> point, plotting the connect-the-dots </b> turns exactly <b> into the </b> view <b> of the </b> quantity <b> Py1x, which is 0 or 1. </b>","beyond <b> a </b> certain <b> point, plotting the connect-the-dots </b> turns exactly <b> into the </b> view <b> of the </b> quantity <b> py1x, which is 0 or 1. </b>"
"find form, Py1x,,0,111expTx appropriate ,,0,1.","We find that the form of Py1x is given by the expression 1 / (1 + exp(-Tx)), which is appropriate for 0 or 1.","<b> We </b> find <b> that the form of Py1x is given by the expression 1 / (1 + exp(-Tx)), which is </b> appropriate <b> for 0 or 1. </b>","<b> we </b> find <b> that the form of py1x is given by the expression 1 / (1 + exp(-tx)), which is </b> appropriate <b> for 0 or 1. </b>"
"Py1x,,0,1.",Py1x is 0 or 1.,<b> Py1x is 0 or 1. </b>,<b> py1x is 0 or 1. </b>
convention redefining xis righthandside n1 dimensional adding coordinate xi01.,"By convention, we redefine the xis to be on the right-hand side, adding a coordinate xi0 = 1.","<b> By convention, we redefine the </b> xis <b> to be on the right-hand side, </b> adding <b> a </b> coordinate <b> xi0 = 1. </b>","<b> by convention, we redefine the </b> xis <b> to be on the right-hand side, </b> adding <b> a </b> coordinate <b> xi0 = 1. </b>"
1x.,This is 1 times x.,<b> This is 1 times x. </b>,<b> this is 1 times x. </b>
"While hypothesis function, hood specific choice choosing quite leading","While the hypothesis function is a specific choice, choosing it is quite leading.","While <b> the </b> hypothesis <b> function is a </b> specific <b> choice, </b> choosing <b> it is </b> quite <b> leading. </b>","while <b> the </b> hypothesis <b> function is a </b> specific <b> choice, </b> choosing <b> it is </b> quite <b> leading. </b>"
Would Prefer One Another?,Would you prefer one or the other?,Would <b> you prefer one or the other? </b>,would <b> you prefer one or the other? </b>
"general, yield boundaries trained","In general, the boundaries yielded by the trained models","<b> In </b> general, <b> the </b> boundaries <b> yielded by the </b> trained <b> models </b>","<b> in </b> general, <b> the </b> boundaries <b> yielded by the </b> trained <b> models </b>"
Which better?,Which one is better?,Which <b> one is </b> better?,which <b> one is </b> better?
discuss superior viceversa.,"We discuss which one is superior, and vice versa.","<b> We </b> discuss <b> which one is superior, and vice versa. </b>","<b> we </b> discuss <b> which one is superior, and vice versa. </b>"
"assumes that, xy0 xy1 parameter logistic, governed Py1x11expTx","It assumes that xy0 and xy1 are parameters of the logistic function, governed by Py1x = 1 / (1 + exp(-Tx)).","<b> It </b> assumes <b> that </b> xy0 <b> and </b> xy1 <b> are parameters of the logistic function, </b> governed <b> by Py1x = 1 / (1 + exp(-Tx)). </b>","<b> it </b> assumes <b> that </b> xy0 <b> and </b> xy1 <b> are parameters of the logistic function, </b> governed <b> by py1x = 1 / (1 + exp(-tx)). </b>"
"element x0, raised plotting pointbypoint ultimately yielded curve, shared necessarily assumptions","The element x0 is raised to the power of the plotting point-by-point, ultimately yielding a curve that shares the necessary assumptions.","<b> The </b> element <b> x0 is </b> raised <b> to the power of the </b> plotting <b> point-by-point, </b> ultimately <b> yielding a curve that shares the necessary assumptions. </b>","<b> the </b> element <b> x0 is </b> raised <b> to the power of the </b> plotting <b> point-by-point, </b> ultimately <b> yielding a curve that shares the necessary assumptions. </b>"
"3. converse, implication does Gaussian.","The converse is also true, and the implication is that the Gaussian distribution","<b> The converse is also true, and the </b> implication <b> is that the Gaussian distribution </b>","<b> the converse is also true, and the </b> implication <b> is that the gaussian distribution </b>"
"3 2. stronger prove 2, noted property GDA.","3 implies 2, and this is a stronger result. We prove 2, and note that this is a property of GDA.","3 <b> implies 2, and this is a </b> stronger <b> result. We </b> prove 2, <b> and note that this is a </b> property <b> of </b> GDA.","3 <b> implies 2, and this is a </b> stronger <b> result. we </b> prove 2, <b> and note that this is a </b> property <b> of </b> gda."
"correct, better regression.","This is correct, and better than regression.","<b> This is </b> correct, <b> and </b> better <b> than </b> regression.","<b> this is </b> correct, <b> and </b> better <b> than </b> regression."
"Specifically, indeed asymptotically efficient.","Specifically, it is indeed asymptotically efficient.","Specifically, <b> it is </b> indeed asymptotically efficient.","specifically, <b> it is </b> indeed asymptotically efficient."
"strong youre baking information algorithm, Informally, limit large sets m, there no strictly terms of, accurately","This is a strong result, and you're baking information into the algorithm. Informally, in the limit of large sets m, there is no strictly better algorithm in terms of accuracy.","<b> This is a </b> strong <b> result, and you're </b> baking information <b> into the algorithm. </b> Informally, <b> in the </b> limit <b> of </b> large sets m, there <b> is </b> no strictly <b> better algorithm in </b> terms <b> of accuracy. </b>","<b> this is a </b> strong <b> result, and you're </b> baking information <b> into the algorithm. </b> informally, <b> in the </b> limit <b> of </b> large sets m, there <b> is </b> no strictly <b> better algorithm in </b> terms <b> of accuracy. </b>"
